epoch,dense_50_acc,dense_50_loss,dense_51_acc,dense_51_loss,dense_52_acc,dense_52_loss,dense_53_acc,dense_53_loss,loss,val_dense_50_acc,val_dense_50_loss,val_dense_51_acc,val_dense_51_loss,val_dense_52_acc,val_dense_52_loss,val_dense_53_acc,val_dense_53_loss,val_loss
0,0.95051163,0.14372495,0.9304652,0.1858432,0.89295906,0.249796,0.891932,0.26386732,0.8432399613340877,0.9757016,0.078176595,0.9342916,0.12883474,0.9411362,0.15271997,0.9366872,0.17079788,0.5305296273675256
1,0.97352505,0.08585113,0.95123434,0.11968097,0.9382251,0.15874039,0.93274754,0.1769714,0.5412517871507713,0.97946614,0.06276405,0.9565366,0.11148807,0.94045174,0.15769915,0.9336071,0.16819416,0.5001461806780394
2,0.977405,0.077459596,0.96173304,0.098389246,0.9500552,0.13032281,0.94415915,0.15113391,0.4573103558502771,0.9818617,0.05865645,0.971937,0.0658341,0.95687884,0.11855821,0.96303904,0.1194771,0.3625262823633549
3,0.9799536,0.07154689,0.9678953,0.08537398,0.9574727,0.1153522,0.952832,0.1331005,0.4053781708081017,0.986653,0.04181546,0.96748805,0.082843125,0.9691992,0.08398206,0.9537988,0.11957063,0.32821166901411475
4,0.98029596,0.06855335,0.971509,0.07717891,0.9609342,0.106997676,0.9562174,0.12404504,0.3767793335400135,0.986653,0.0487992,0.9691992,0.08131164,0.9661191,0.10656894,0.9592745,0.12046479,0.3571448163246117
5,0.981323,0.06590978,0.96960706,0.08086683,0.961657,0.102247216,0.9564837,0.12028007,0.36930750675125396,0.98425734,0.052619856,0.9589322,0.100081645,0.9698836,0.08434321,0.9626968,0.09880851,0.3358533193425103
6,0.98041004,0.07754381,0.97314465,0.07493824,0.964662,0.10177257,0.95914644,0.11710787,0.3713658522489057,0.98596853,0.050633688,0.97296375,0.06857976,0.96748805,0.08689984,0.96577686,0.0929985,0.2991121086794346
7,0.98196965,0.06501304,0.97257406,0.07780333,0.9664879,0.097898416,0.9612766,0.109193295,0.3499113342000022,0.96303904,0.10578612,0.9606434,0.08743529,0.97125256,0.07702118,0.9582478,0.115869924,0.38611291399721015
8,0.9829967,0.062801935,0.9743999,0.07156933,0.96546084,0.09656788,0.96230364,0.109581314,0.34052354767781334,0.97980833,0.06040609,0.9801506,0.0526583,0.97296375,0.09778475,0.9681725,0.083710216,0.2945598414390575
9,0.9824261,0.06899332,0.9758834,0.07110617,0.9662977,0.10034431,0.96329266,0.10921185,0.3496585553914969,0.9856263,0.10442987,0.9199179,0.28096023,0.9644079,0.090769336,0.95242983,0.12905927,0.6052194331572447
10,0.980372,0.09239226,0.9726502,0.07822096,0.96717256,0.10463598,0.96215147,0.11046235,0.38571416021090105,0.97843945,0.12375279,0.9705681,0.08287584,0.9691992,0.097183175,0.9589322,0.118012115,0.4218244684888621
11,0.9861159,0.07515311,0.98284453,0.052711237,0.9756933,0.075989746,0.97322077,0.080231495,0.2840869248367832,0.9880219,0.10520866,0.98767966,0.04576003,0.97775495,0.09684197,0.9620123,0.10724648,0.35505746433673663
12,0.9868386,0.0677225,0.98440415,0.047118437,0.97599757,0.07597568,0.97390544,0.080954015,0.27177203382410536,0.9900753,0.051799715,0.99041754,0.038873017,0.98049283,0.07376663,0.9757016,0.12141856,0.28585837019424926
13,0.9847084,0.08811341,0.9825783,0.057803355,0.9767964,0.082975134,0.9720796,0.09227345,0.32116722575245704,0.9811773,0.12380322,0.9825462,0.04361856,0.9753593,0.078369476,0.97843945,0.066763766,0.31255545481894964
14,0.984252,0.08067162,0.98284453,0.0501364,0.9775952,0.071326986,0.97295445,0.08420135,0.2863378896584252,0.9890486,0.04211484,0.98288846,0.06766322,0.97878164,0.06134257,0.97843945,0.07003088,0.24115170309561834
